time,emotion
2026-02-04 12:27:03.647121,neutral
2026-02-04 12:27:03.736996,neutral
2026-02-04 12:27:03.838050,neutral
2026-02-04 12:27:03.931879,neutral
2026-02-04 12:27:07.273917,neutral
2026-02-04 12:27:07.511675,neutral
2026-02-04 12:27:07.598179,neutral
2026-02-04 12:27:07.697746,neutral
2026-02-04 12:27:07.786246,happy
2026-02-04 12:27:07.897096,neutral
2026-02-04 12:27:08.000781,neutral
2026-02-04 12:27:08.090532,neutral
2026-02-04 12:27:08.199387,happy
2026-02-04 12:27:08.297627,happy
2026-02-04 12:27:08.402685,neutral
2026-02-04 12:27:08.582653,neutral
2026-02-04 12:27:08.880615,neutral
2026-02-04 12:27:09.058819,neutral
2026-02-04 12:27:09.133117,neutral
2026-02-04 12:27:09.217564,neutral
2026-02-04 12:27:09.310866,neutral
2026-02-04 12:27:09.401228,neutral
2026-02-04 12:27:09.502414,neutral
2026-02-04 12:27:09.601414,neutral
2026-02-04 12:27:09.707826,neutral
2026-02-04 12:27:09.796614,neutral
2026-02-04 12:27:09.904378,neutral
2026-02-04 12:27:10.011684,neutral
2026-02-04 12:27:10.110864,neutral
2026-02-04 12:27:10.192765,neutral
2026-02-04 12:27:10.269157,neutral
2026-02-04 12:27:10.354816,neutral
2026-02-04 12:27:10.470646,neutral
2026-02-04 12:27:10.546871,neutral
2026-02-04 12:27:10.635763,neutral
2026-02-04 12:27:10.712186,sad
2026-02-04 12:27:10.820926,neutral
2026-02-04 12:27:10.917465,neutral
2026-02-04 12:27:11.031663,neutral
2026-02-04 12:27:11.141540,neutral
2026-02-04 12:27:11.242389,neutral
2026-02-04 12:27:11.344399,neutral
2026-02-04 12:27:11.444573,neutral
2026-02-04 12:27:11.538225,neutral
2026-02-04 12:27:12.290183,neutral
2026-02-04 12:27:12.459212,neutral
2026-02-04 12:27:12.542551,neutral
2026-02-04 12:27:12.629137,happy
2026-02-04 12:27:12.720731,happy
2026-02-04 12:27:12.805706,happy
2026-02-04 12:27:13.111253,happy
2026-02-04 12:27:13.262226,happy
2026-02-04 12:27:13.346416,neutral
2026-02-04 12:27:13.526061,neutral
2026-02-04 12:27:13.769258,angry
2026-02-04 12:27:13.836644,angry
2026-02-04 12:27:13.921897,neutral
2026-02-04 12:27:14.011436,angry
2026-02-04 12:27:14.099731,angry
2026-02-04 12:27:14.194923,angry
2026-02-04 12:27:14.297441,angry
2026-02-04 12:27:14.420666,angry
2026-02-04 12:27:14.531262,angry
2026-02-04 12:27:14.611405,angry
2026-02-04 12:27:14.777722,angry
2026-02-04 12:27:14.862010,angry
2026-02-04 12:27:14.954369,angry
2026-02-04 12:27:15.047821,angry
2026-02-04 12:27:15.156385,angry
2026-02-04 12:27:15.237492,neutral
2026-02-04 12:27:15.338566,neutral
2026-02-04 12:27:15.423024,sad
2026-02-04 12:27:15.515333,sad
2026-02-04 12:27:15.600761,neutral
2026-02-04 12:27:15.693586,neutral
2026-02-04 12:27:15.792522,neutral
2026-02-04 12:27:15.893539,neutral
2026-02-04 12:27:15.985543,neutral
2026-02-04 12:27:16.070277,neutral
2026-02-04 12:27:16.159008,neutral
2026-02-04 12:27:16.239206,neutral
2026-02-04 12:27:16.306068,neutral
2026-02-04 12:27:16.393192,neutral
2026-02-04 12:27:16.492177,neutral
2026-02-04 12:27:16.583758,neutral
2026-02-04 12:27:16.667217,neutral
2026-02-04 12:27:16.760131,neutral
2026-02-04 12:27:16.858263,neutral
2026-02-04 12:27:16.938313,neutral
2026-02-04 12:27:17.019355,neutral
2026-02-04 12:27:17.119458,neutral
2026-02-04 12:27:17.190644,neutral
2026-02-04 12:27:17.294359,neutral
2026-02-04 12:27:17.412075,happy
2026-02-04 12:27:17.660324,neutral
2026-02-04 12:27:17.754739,neutral
2026-02-04 12:27:17.848065,neutral
2026-02-04 12:27:17.935274,neutral
2026-02-04 12:27:18.025350,neutral
2026-02-04 12:27:18.121160,neutral
2026-02-04 12:27:18.195289,neutral
2026-02-04 12:27:18.280356,neutral
2026-02-04 12:27:18.369980,neutral
2026-02-04 12:27:18.462573,neutral
2026-02-04 12:27:18.621328,neutral
2026-02-04 12:27:18.703455,neutral
2026-02-04 12:27:18.778695,neutral
2026-02-04 12:27:18.875961,neutral
2026-02-04 12:27:18.957455,neutral
2026-02-04 12:27:19.032074,neutral
2026-02-04 12:27:19.123732,happy
2026-02-04 12:27:19.352402,happy
2026-02-04 12:27:20.739814,neutral
2026-02-04 12:27:20.825875,happy
2026-02-04 12:27:21.920976,neutral
2026-02-04 12:27:22.020538,neutral
2026-02-04 12:27:22.120728,neutral
2026-02-04 12:27:22.466781,angry
2026-02-04 12:27:22.535117,happy
2026-02-04 12:27:22.797755,happy
2026-02-04 12:27:23.310804,neutral
2026-02-04 12:27:23.403580,happy
2026-02-04 12:27:23.495615,neutral
2026-02-04 12:27:23.592126,neutral
2026-02-04 12:27:23.689736,neutral
2026-02-04 12:27:23.771632,happy
2026-02-04 12:27:23.861033,happy
2026-02-04 12:27:23.933267,happy
2026-02-04 12:27:24.000760,neutral
2026-02-04 12:27:24.093249,happy
2026-02-04 12:27:24.171412,neutral
2026-02-04 12:27:24.261203,neutral
2026-02-04 12:27:24.962823,neutral
2026-02-04 12:27:25.038662,neutral
